Symbol,Name,Sector,Industry,Full Time Employees,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
HES,Hess Corporation,Energy,Oil & Gas E&P,1756.0,33.1,18.9,7.0,7.2,Moderate Controversy Level,2.0,79.0,High
HSIC,Henry Schein Inc,Healthcare,Medical Distribution,25000.0,13.9,2.0,6.3,5.7,Moderate Controversy Level,2.0,9.0,Low
JKHY,Henry (Jack) & Associates,Technology,Information Technology Services,7120.0,18.7,4.3,5.7,8.7,None Controversy Level,2.0,23.0,Low
DOC,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,193.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
HCA,"Hca Healthcare, Inc.",Healthcare,Medical Care Facilities,220000.0,28.8,3.9,7.2,17.7,Significant Controversy Level,3.0,64.0,Medium
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,5502.0,7.1,0.0,4.2,2.9,Moderate Controversy Level,2.0,1.0,Negligible
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,49000.0,25.6,9.8,6.9,8.9,Moderate Controversy Level,2.0,52.0,Medium
GS,Goldman Sachs Group Inc.,Financial Services,Capital Markets,44400.0,25.5,0.9,11.8,12.8,Moderate Controversy Level,2.0,51.0,Medium
GL,Globe Life Inc.,Financial Services,Insurance - Life,3636.0,20.4,1.6,10.5,8.3,Moderate Controversy Level,2.0,29.0,Medium
GPN,"Global Payments, Inc.",Industrials,Specialty Business Services,27000.0,20.9,3.7,6.5,10.7,Low Controversy Level,1.0,31.0,Medium
GILD,Gilead Sciences Inc,Healthcare,Drug Manufacturers - General,18000.0,23.0,1.0,7.6,14.3,Moderate Controversy Level,2.0,40.0,Medium
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,60000.0,13.7,4.7,3.8,5.2,Moderate Controversy Level,2.0,8.0,Low
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,163000.0,28.5,9.8,7.2,11.5,High Controversy Level,4.0,63.0,Medium
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,34000.0,21.1,8.3,4.1,8.7,Moderate Controversy Level,2.0,32.0,Medium
GE,General Electric Company,Industrials,Aerospace & Defense,125000.0,40.5,14.2,10.9,15.4,Significant Controversy Level,3.0,92.0,Severe
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,111600.0,35.2,9.4,6.9,18.9,Significant Controversy Level,3.0,84.0,High
GNRC,Generac Holdings Inc,Industrials,Specialty Industrial Machinery,8315.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,3400.0,16.9,3.3,5.4,8.2,Moderate Controversy Level,2.0,17.0,Low
GEV,Ge Vernova Inc.,Utilities,Utilities - Renewable,80000.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
GEHC,Ge Healthcare Technologies Inc.,Healthcare,Health Information Services,51000.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
IT,"Gartner, Inc.",Technology,Information Technology Services,20290.0,18.9,0.1,5.6,13.2,Low Controversy Level,1.0,24.0,Low
GRMN,Garmin Ltd,Technology,Scientific & Technical Instruments,19900.0,20.7,4.8,4.3,11.6,Low Controversy Level,1.0,30.0,Medium
FCX,Freeport-Mcmoran Inc.,Basic Materials,Copper,27200.0,31.6,15.3,6.4,10.0,High Controversy Level,4.0,74.0,High
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,10100.0,18.3,1.1,7.3,9.9,Moderate Controversy Level,2.0,22.0,Low
FOX,Fox Corporation Class B,Communication Services,Entertainment,10400.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
FOXA,Fox Corporation Class A,Communication Services,Entertainment,10400.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,18000.0,34.8,16.1,4.7,14.0,Low Controversy Level,1.0,83.0,High
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,13522.0,18.9,2.5,6.4,10.0,Low Controversy Level,1.0,24.0,Low
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,177000.0,22.4,7.4,8.5,6.4,Significant Controversy Level,3.0,37.0,Medium
FMC,Fmc Corporation,Basic Materials,Agricultural Inputs,6200.0,30.7,14.4,7.5,8.9,Low Controversy Level,1.0,72.0,High
FI,"Fiserv, Inc.",Technology,Information Technology Services,42000.0,19.6,4.1,6.8,8.7,Moderate Controversy Level,2.0,27.0,Low
FE,Firstenergy Corp.,Utilities,Utilities - Regulated Electric,12042.0,25.6,10.8,5.8,9.0,Significant Controversy Level,3.0,51.0,Medium
