Symbol,Name,Sector,Industry,Full Time Employees,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,51000.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
CDNS,Cadence Design Systems,Technology,Software - Application,11200.0,12.0,2.3,4.8,4.9,None Controversy Level,2.0,5.0,Low
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,14990.0,19.3,4.7,5.3,9.3,Low Controversy Level,1.0,26.0,Low
BG,Bunge Global Sa,Consumer Defensive,Farm Products,23000.0,32.9,14.4,5.3,13.3,Significant Controversy Level,3.0,78.0,High
BLDR,"Builders Firstsource, Inc.",Industrials,Building Products & Equipment,29000.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
BF.B,Brown-Forman Corporation Class B,Unknown,Unknown,21585.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,16152.0,20.5,0.1,10.6,9.8,Low Controversy Level,1.0,30.0,Medium
BR,Broadridge Financial Solutions Inc,Technology,Information Technology Services,14000.0,16.6,4.2,4.9,7.5,Moderate Controversy Level,2.0,16.0,Low
AVGO,Broadcom Inc.,Technology,Semiconductors,20000.0,20.0,7.3,6.6,6.0,Significant Controversy Level,3.0,28.0,Low
BMY,Bristol-Myers Squibb Co.,Healthcare,Drug Manufacturers - General,34100.0,22.7,1.3,7.1,14.4,Moderate Controversy Level,2.0,39.0,Medium
BSX,Boston Scientific Corp.,Healthcare,Medical Devices,48000.0,23.1,2.4,8.9,11.9,Moderate Controversy Level,2.0,41.0,Medium
BXP,"Boston Properties, Inc.",Real Estate,REIT - Office,836.0,12.5,2.5,5.4,4.5,Low Controversy Level,1.0,6.0,Low
BWA,Borgwarner Inc.,Consumer Cyclical,Auto Parts,39900.0,12.6,2.7,5.7,4.2,Moderate Controversy Level,2.0,6.0,Low
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,24000.0,19.2,1.0,8.1,10.1,Significant Controversy Level,3.0,25.0,Low
BA,Boeing Company,Industrials,Aerospace & Defense,171000.0,39.6,8.8,8.3,22.5,High Controversy Level,4.0,91.0,High
BX,Blackstone Inc.,Financial Services,Asset Management,4735.0,23.4,2.5,11.3,9.6,Moderate Controversy Level,2.0,42.0,Medium
BLK,"Blackrock, Inc.",Financial Services,Asset Management,19300.0,18.3,0.9,10.0,7.4,Moderate Controversy Level,2.0,21.0,Low
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,7570.0,22.2,0.4,7.4,14.5,Significant Controversy Level,3.0,37.0,Medium
TECH,Bio-Techne Corp.,Healthcare,Biotechnology,3200.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
BIO,"Bio-Rad Laboratories, Inc.Class A",Healthcare,Medical Devices,8000.0,17.4,1.2,7.0,9.2,Low Controversy Level,1.0,18.0,Low
BBY,"Best Buy Company, Inc.",Consumer Cyclical,Specialty Retail,85000.0,15.9,2.4,4.4,9.1,Moderate Controversy Level,2.0,14.0,Low
BRK-B,Berkshire Hathaway Class B,Financial Services,Insurance - Diversified,396500.0,20.7,1.0,14.8,4.9,Low Controversy Level,1.0,30.0,Medium
BDX,"Becton, Dickinson and Co.",Healthcare,Medical Instruments & Supplies,70000.0,23.8,3.0,7.1,13.6,Significant Controversy Level,3.0,44.0,Medium
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,60000.0,23.6,2.8,7.1,13.6,Significant Controversy Level,3.0,43.0,Medium
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Specialty Retail,8981.0,28.3,12.2,5.9,10.3,Moderate Controversy Level,2.0,62.0,Medium
BK,Bank of New York Mellon Corporation,Financial Services,Asset Management,52100.0,20.9,1.1,9.9,9.9,Moderate Controversy Level,2.0,31.0,Medium
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,212000.0,28.3,1.7,11.5,15.1,Significant Controversy Level,3.0,62.0,Medium
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,16000.0,12.1,7.6,3.7,0.8,Moderate Controversy Level,2.0,5.0,Low
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,57000.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,3330.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
AVY,Avery Dennison Corp.,Consumer Cyclical,Packaging & Containers,35000.0,16.1,11.4,3.7,0.9,Low Controversy Level,1.0,14.0,Low
AVB,"Avalonbay Communities, Inc.",Real Estate,REIT - Residential,2978.0,9.8,3.0,4.8,2.0,Low Controversy Level,1.0,3.0,Negligible
AZO,"Autozone, Inc.",Consumer Cyclical,Specialty Retail,71400.0,11.0,0.1,3.8,7.1,Moderate Controversy Level,2.0,4.0,Low
ADP,Automatic Data Processing,Industrials,Staffing & Employment Services,63000.0,13.8,2.8,5.5,5.5,Low Controversy Level,1.0,8.0,Low
ADSK,Autodesk Inc,Technology,Software - Application,21585.0,16.8,3.7,4.9,8.2,None Controversy Level,2.0,16.0,Low
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,5019.0,34.6,14.8,6.4,13.4,Moderate Controversy Level,2.0,83.0,High
T,At&t Inc.,Communication Services,Telecom Services,148290.0,23.9,3.3,6.7,13.9,Significant Controversy Level,3.0,44.0,Medium
AIZ,"Assurant, Inc.",Financial Services,Insurance - Specialty,13600.0,24.1,1.6,11.7,10.8,Moderate Controversy Level,2.0,45.0,Medium
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,49821.0,21.2,0.1,10.1,10.9,Moderate Controversy Level,2.0,33.0,Medium
ANET,Arista Networks,Technology,Computer Hardware,4023.0,16.7,0.4,7.4,8.9,Low Controversy Level,1.0,16.0,Low
ADM,Archer Daniels Midland Company,Consumer Defensive,Farm Products,40213.0,31.8,16.6,5.0,10.1,Significant Controversy Level,3.0,75.0,High
ACGL,Arch Capital Group Ltd,Financial Services,Insurance - Diversified,6400.0,22.5,1.5,10.9,10.1,Moderate Controversy Level,2.0,38.0,Medium
APTV,Aptiv Plc,Consumer Cyclical,Auto Parts,154000.0,10.7,1.5,5.3,3.9,Low Controversy Level,1.0,3.0,Low
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,34800.0,12.7,4.5,5.3,3.0,Low Controversy Level,1.0,6.0,Low
AAPL,Apple Inc.,Technology,Consumer Electronics,150000.0,17.2,0.5,9.4,7.4,Significant Controversy Level,3.0,18.0,Low
APA,Apa Corporation,Energy,Oil & Gas E&P,2271.0,38.8,22.0,8.0,8.9,Moderate Controversy Level,2.0,83.0,High
AON,Aon Plc Class A,Financial Services,Insurance Brokers,50000.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
ANSS,Ansys Inc,Technology,Software - Application,6200.0,15.9,3.5,5.1,7.3,None Controversy Level,2.0,14.0,Low
ADI,"Analog Devices, Inc.",Technology,Semiconductors,26000.0,22.9,9.3,7.0,6.7,Low Controversy Level,1.0,40.0,Medium
APH,Amphenol Corporation,Technology,Electronic Components,95000.0,19.6,7.3,7.6,4.6,Moderate Controversy Level,2.0,26.0,Low
AMGN,Amgen Inc,Healthcare,Drug Manufacturers - General,26700.0,22.0,0.7,7.8,13.5,Significant Controversy Level,3.0,36.0,Medium
AME,"Ametek, Inc.",Industrials,Specialty Industrial Machinery,21500.0,23.9,8.6,6.7,8.5,Low Controversy Level,1.0,44.0,Medium
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,13800.0,20.3,2.1,10.3,7.8,Moderate Controversy Level,2.0,29.0,Medium
AWK,"American Water Works Company, Inc",Utilities,Utilities - Regulated Water,6500.0,21.6,9.0,5.0,7.6,Low Controversy Level,1.0,34.0,Medium
AMT,American Tower Corporation,Real Estate,REIT - Specialty,5643.0,10.9,2.9,5.2,2.8,Low Controversy Level,1.0,4.0,Low
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,25000.0,24.2,1.6,12.9,9.7,Moderate Controversy Level,2.0,46.0,Medium
AXP,American Express Company,Financial Services,Credit Services,74600.0,18.6,0.1,9.7,8.9,Moderate Controversy Level,2.0,23.0,Low
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,16800.0,26.1,12.7,5.4,8.1,Moderate Controversy Level,2.0,54.0,Medium
AAL,American Airlines Group Inc.,Industrials,Airlines,132800.0,26.4,9.9,4.8,11.6,Moderate Controversy Level,2.0,54.0,Medium
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,9372.0,27.2,12.9,5.3,9.1,Moderate Controversy Level,2.0,58.0,Medium
AMCR,Amcor Plcs,Consumer Cyclical,Packaging & Containers,41000.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,1525000.0,30.6,6.0,9.2,15.4,Significant Controversy Level,3.0,71.0,High
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,6400.0,31.3,6.1,7.6,17.6,Significant Controversy Level,3.0,74.0,High
GOOG,Alphabet Inc. Class C,Communication Services,Internet Content & Information,180895.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
GOOGL,Alphabet Inc. Class A,Communication Services,Internet Content & Information,180895.0,24.2,1.6,11.5,11.2,High Controversy Level,4.0,46.0,Medium
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,3281.0,21.4,8.5,6.3,6.6,None Controversy Level,2.0,33.0,Medium
ALLE,Allegion Public Limited Company,Industrials,Security & Protection Services,12200.0,21.8,10.9,5.0,5.8,None Controversy Level,2.0,35.0,Medium
ALGN,Align Technology Inc,Healthcare,Medical Devices,21670.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,568.0,13.9,3.9,6.3,3.7,None Controversy Level,2.0,9.0,Low
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,9000.0,26.6,15.4,6.3,4.8,Moderate Controversy Level,2.0,55.0,Medium
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,10250.0,17.0,3.0,6.9,7.1,Low Controversy Level,1.0,17.0,Low
ABNB,"Airbnb, Inc. Class A",Consumer Cyclical,Travel Services,6907.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
APD,"Air Products & Chemicals, Inc.",Basic Materials,Specialty Chemicals,23000.0,12.3,7.4,3.3,1.5,Low Controversy Level,1.0,5.0,Low
A,Agilent Technologies Inc.,Healthcare,Diagnostics & Research,18000.0,13.6,1.1,6.1,6.4,Moderate Controversy Level,2.0,8.0,Low
AFL,Aflac Inc.,Financial Services,Insurance - Life,12785.0,18.3,0.3,8.9,9.1,Low Controversy Level,1.0,22.0,Low
AES,Aes Corporation,Utilities,Utilities - Diversified,9600.0,26.7,13.3,5.3,8.2,Moderate Controversy Level,2.0,56.0,Medium
AMD,Advanced Micro Devices,Technology,Semiconductors,26000.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
ADBE,Adobe Inc.,Technology,Software - Infrastructure,29945.0,13.1,1.9,5.2,6.0,Moderate Controversy Level,2.0,7.0,Low
ACN,Accenture Plc,Technology,Information Technology Services,742000.0,9.8,0.8,4.4,4.6,Moderate Controversy Level,2.0,3.0,Negligible
ABBV,Abbvie Inc.,Healthcare,Drug Manufacturers - General,50000.0,29.9,2.4,10.4,17.2,Significant Controversy Level,3.0,69.0,Medium
ABT,Abbott Laboratories,Healthcare,Medical Devices,114000.0,24.8,2.3,8.3,14.2,Significant Controversy Level,3.0,48.0,Medium
AOS,A.O. Smith Corporation,Industrials,Specialty Industrial Machinery,12000.0,25.4,7.2,6.4,11.9,Low Controversy Level,1.0,51.0,Medium
MMM,3m Company,Industrials,Conglomerates,85000.0,37.3,17.2,6.5,13.6,Severe Controversy Level,5.0,89.0,High
